,model,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
32,connectivity/bert_ft_qqp-1,glue/cola,connectivity/bert_ft_qqp-1,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.533408164978027,-0.5430879829728935
33,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,glue/cola,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.464791536331177,-0.5435849487821778
34,connectivity/bert_ft_qqp-25,glue/cola,connectivity/bert_ft_qqp-25,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.7496867179870605,-0.5444399465367012
35,Jeevesh8/bert_ft_qqp-55,glue/cola,Jeevesh8/bert_ft_qqp-55,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.945160627365112,-0.5455105503481503
36,connectivity/bert_ft_qqp-96,glue/cola,connectivity/bert_ft_qqp-96,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.883580923080444,-0.5461916032673193
37,Jeevesh8/bert_ft_qqp-39,glue/cola,Jeevesh8/bert_ft_qqp-39,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.970954656600952,-0.5465605871870005
38,Jeevesh8/bert_ft_qqp-40,glue/cola,Jeevesh8/bert_ft_qqp-40,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.2194273471832275,-0.5496271231017238
39,Capreolus/bert-base-msmarco,glue/cola,Capreolus/bert-base-msmarco,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.575559854507446,-0.5502760807451972
40,dapang/distilroberta-base-mic-sym,glue/cola,dapang/distilroberta-base-mic-sym,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,4.838495492935181,-0.5511416194450366
41,Jeevesh8/feather_berts_92,glue/cola,Jeevesh8/feather_berts_92,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.602752685546875,-0.5511843440936963
42,joebobby/finetuning-sentiment-model-5000-samples3,glue/cola,joebobby/finetuning-sentiment-model-5000-samples3,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.724123239517212,-0.5522068843470507
43,Jeevesh8/lecun_feather_berts-3,glue/cola,Jeevesh8/lecun_feather_berts-3,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.806521654129028,-0.5531535696644807
44,Jeevesh8/init_bert_ft_qqp-24,glue/cola,Jeevesh8/init_bert_ft_qqp-24,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.818071842193604,-0.553901855591248
45,Jeevesh8/lecun_feather_berts-7,glue/cola,Jeevesh8/lecun_feather_berts-7,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.8461754322052,-0.5544795894926707
46,Jeevesh8/lecun_feather_berts-51,glue/cola,Jeevesh8/lecun_feather_berts-51,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.169951677322388,-0.5547077258051161
47,Jeevesh8/lecun_feather_berts-8,glue/cola,Jeevesh8/lecun_feather_berts-8,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.896097898483276,-0.5548709731207077
48,Jeevesh8/feather_berts_96,glue/cola,Jeevesh8/feather_berts_96,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.795511484146118,-0.5552683186485377
49,connectivity/bert_ft_qqp-17,glue/cola,connectivity/bert_ft_qqp-17,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.8251800537109375,-0.5558198408458888
50,Jeevesh8/init_bert_ft_qqp-28,glue/cola,Jeevesh8/init_bert_ft_qqp-28,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.730849504470825,-0.5559161077200301
51,connectivity/feather_berts_28,glue/cola,connectivity/feather_berts_28,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.211444616317749,-0.556634772788509
52,connectivity/bert_ft_qqp-7,glue/cola,connectivity/bert_ft_qqp-7,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.855056285858154,-0.5568804191735
53,Jeevesh8/init_bert_ft_qqp-33,glue/cola,Jeevesh8/init_bert_ft_qqp-33,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.230126857757568,-0.5573009340021426
54,Jeevesh8/bert_ft_qqp-68,glue/cola,Jeevesh8/bert_ft_qqp-68,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.830833911895752,-0.5573843645017813
55,vinai/bertweet-covid19-base-cased,glue/cola,vinai/bertweet-covid19-base-cased,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.364980936050415,-0.5574801888578627
56,connectivity/bert_ft_qqp-94,glue/cola,connectivity/bert_ft_qqp-94,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.681282997131348,-0.5578086700789855
57,Jeevesh8/init_bert_ft_qqp-49,glue/cola,Jeevesh8/init_bert_ft_qqp-49,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.492933988571169,-0.5580865909693178
58,vinai/bertweet-covid19-base-uncased,glue/cola,vinai/bertweet-covid19-base-uncased,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.585059404373169,-0.5588629737625135
59,anvay/finetuning-cardiffnlp-sentiment-model,glue/cola,anvay/finetuning-cardiffnlp-sentiment-model,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.783588171005249,-0.5595667522150103
60,distilbert-base-uncased,glue/cola,distilbert-base-uncased,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,4.577084541320801,-0.5605668141029352
61,SetFit/distilbert-base-uncased__sst2__train-16-0,glue/cola,SetFit/distilbert-base-uncased__sst2__train-16-0,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.166712522506714,-0.5606604362140762
62,Jeevesh8/feather_berts_46,glue/cola,Jeevesh8/feather_berts_46,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.97010064125061,-0.563015533615891
63,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,glue/cola,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.480276346206665,-0.5632217298624564
64,vinai/bertweet-base,glue/cola,vinai/bertweet-base,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.427658557891846,-0.5636288568129497
65,cointegrated/roberta-base-formality,glue/cola,cointegrated/roberta-base-formality,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.2239408493042,-0.5654923556122848
66,ishan/bert-base-uncased-mnli,glue/cola,ishan/bert-base-uncased-mnli,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.214301824569702,-0.5660736661938301
67,heranm/finetuning-sentiment-model-3000-samples,glue/cola,heranm/finetuning-sentiment-model-3000-samples,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.2258830070495605,-0.5700652818870247
68,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,glue/cola,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.727591753005981,-0.5708749376006292
69,markt23917/finetuning-sentiment-model-3000-samples,glue/cola,markt23917/finetuning-sentiment-model-3000-samples,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.62378191947937,-0.57228159165101
70,yukta10/finetuning-sentiment-model-3000-samples,glue/cola,yukta10/finetuning-sentiment-model-3000-samples,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.13044548034668,-0.5728337123476579
71,PrasunMishra/finetuning-sentiment-model-3000-samples,glue/cola,PrasunMishra/finetuning-sentiment-model-3000-samples,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.620978832244873,-0.5739455265040394
72,SetFit/distilbert-base-uncased__sst2__train-32-9,glue/cola,SetFit/distilbert-base-uncased__sst2__train-32-9,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,4.515880107879639,-0.5744887062018528
73,aXhyra/demo_sentiment_31415,glue/cola,aXhyra/demo_sentiment_31415,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.354758977890015,-0.5748619377285544
74,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,glue/cola,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.7224621772766113,-0.575912769768804
75,aXhyra/presentation_sentiment_1234567,glue/cola,aXhyra/presentation_sentiment_1234567,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.107293367385864,-0.5798109219578116
76,cardiffnlp/bertweet-base-stance-climate,glue/cola,cardiffnlp/bertweet-base-stance-climate,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.10593581199646,-0.5812092862061621
77,18811449050/bert_finetuning_test,glue/cola,18811449050/bert_finetuning_test,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.47040557861328,-0.5812808422936542
78,oferweintraub/bert-base-finance-sentiment-noisy-search,glue/cola,oferweintraub/bert-base-finance-sentiment-noisy-search,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.790204524993896,-0.5837622155043085
79,crcb/isear_bert,glue/cola,crcb/isear_bert,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.59701418876648,-0.5847384319973381
80,juliensimon/autonlp-imdb-demo-hf-16622767,glue/cola,juliensimon/autonlp-imdb-demo-hf-16622767,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.3977110385894775,-0.587324894691974
81,Anthos23/FS-distilroberta-fine-tuned,glue/cola,Anthos23/FS-distilroberta-fine-tuned,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,4.8913938999176025,-0.5888256459405342
82,nurkayevaa/autonlp-bert-covid-407910458,glue/cola,nurkayevaa/autonlp-bert-covid-407910458,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.210200309753418,-0.5897271687568815
83,uygarkurt/distilbert-base-uncased-finetuned-emotion,glue/cola,uygarkurt/distilbert-base-uncased-finetuned-emotion,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.571575164794922,-0.5911889231532304
84,aviator-neural/bert-base-uncased-sst2,glue/cola,aviator-neural/bert-base-uncased-sst2,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.050235986709595,-0.5914267293068214
85,emrecan/bert-base-multilingual-cased-snli_tr,glue/cola,emrecan/bert-base-multilingual-cased-snli_tr,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.838603973388672,-0.5926261472819339
86,Nanatan/distilbert-base-uncased-finetuned-emotion,glue/cola,Nanatan/distilbert-base-uncased-finetuned-emotion,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.255917072296143,-0.5933075537149537
87,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,glue/cola,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.605129957199097,-0.5940015169306629
88,abdelkader/distilbert-base-uncased-finetuned-emotion,glue/cola,abdelkader/distilbert-base-uncased-finetuned-emotion,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.740458011627197,-0.5950271833843115
89,JB173/distilbert-base-uncased-finetuned-emotion,glue/cola,JB173/distilbert-base-uncased-finetuned-emotion,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.248420715332031,-0.5959343669950719
90,vaariis/distilbert-base-uncased-finetuned-emotion,glue/cola,vaariis/distilbert-base-uncased-finetuned-emotion,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.473077058792114,-0.5963642313001665
91,moghis/distilbert-base-uncased-finetuned-emotion,glue/cola,moghis/distilbert-base-uncased-finetuned-emotion,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.814101696014404,-0.5970592834992392
92,fabriceyhc/bert-base-uncased-imdb,glue/cola,fabriceyhc/bert-base-uncased-imdb,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.816002368927002,-0.597667613163667
93,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,glue/cola,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.527786016464233,-0.5984037341344232
94,amyma21/sincere_question_classification,glue/cola,amyma21/sincere_question_classification,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.783499002456665,-0.5984590804932618
95,aXhyra/presentation_emotion_31415,glue/cola,aXhyra/presentation_emotion_31415,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.193135976791382,-0.5991066024047176
96,marcelcastrobr/sagemaker-distilbert-emotion,glue/cola,marcelcastrobr/sagemaker-distilbert-emotion,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.171539068222046,-0.6015267504687094
97,neibla/distilbert-base-uncased-finetuned-emotion,glue/cola,neibla/distilbert-base-uncased-finetuned-emotion,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.133965969085693,-0.6019579846685956
98,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,glue/cola,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.7184598445892334,-0.6024442198810667
99,pietrotrope/emotion_final,glue/cola,pietrotrope/emotion_final,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,4.874171733856201,-0.6028805276342002
100,korca/bae-roberta-base-boolq,glue/cola,korca/bae-roberta-base-boolq,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.935080766677856,-0.603862855893019
101,cambridgeltl/guardian_news_distilbert-base-uncased,glue/cola,cambridgeltl/guardian_news_distilbert-base-uncased,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.202515840530396,-0.6039437403511596
102,ChrisUPM/BioBERT_Re_trained,glue/cola,ChrisUPM/BioBERT_Re_trained,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.338622570037842,-0.6040920259575429
103,jasonyim2/distilbert-base-uncased-finetuned-emotion,glue/cola,jasonyim2/distilbert-base-uncased-finetuned-emotion,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.395534038543701,-0.6050365392083519
104,aXhyra/emotion_trained_31415,glue/cola,aXhyra/emotion_trained_31415,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.24039626121521,-0.6051233935560748
105,Aureliano/distilbert-base-uncased-if,glue/cola,Aureliano/distilbert-base-uncased-if,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.779611825942993,-0.6064668690569841
106,aditeyabaral/finetuned-sail2017-xlm-roberta-base,glue/cola,aditeyabaral/finetuned-sail2017-xlm-roberta-base,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.633906602859497,-0.6079942793849582
107,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,glue/cola,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.057026147842407,-0.6083228338246804
108,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,glue/cola,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.654833078384399,-0.6111831280665253
109,phailyoor/distilbert-base-uncased-finetuned-yahd,glue/cola,phailyoor/distilbert-base-uncased-finetuned-yahd,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.734716892242432,-0.6117239297581445
110,mrm8488/codebert-base-finetuned-detect-insecure-code,glue/cola,mrm8488/codebert-base-finetuned-detect-insecure-code,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.01751708984375,-0.6118916957221783
111,anferico/bert-for-patents,glue/cola,anferico/bert-for-patents,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,23.80956768989563,-0.615611656472483
112,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,glue/cola,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.369158506393433,-0.6171772452207203
113,mrm8488/electricidad-base-finetuned-pawsx-es,glue/cola,mrm8488/electricidad-base-finetuned-pawsx-es,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.64139199256897,-0.621980545989407
114,classla/bcms-bertic-parlasent-bcs-ter,glue/cola,classla/bcms-bertic-parlasent-bcs-ter,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.314188241958618,-0.6223181751204867
115,arianpasquali/distilbert-base-multilingual-cased-toxicity,glue/cola,arianpasquali/distilbert-base-multilingual-cased-toxicity,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.407527446746826,-0.626166172349458
116,finiteautomata/betonews-tweetcontext,glue/cola,finiteautomata/betonews-tweetcontext,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,12.05317497253418,-0.6287198855615587
117,AnonymousSub/dummy_2,glue/cola,AnonymousSub/dummy_2,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.852218389511108,-0.6300060155642252
118,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,glue/cola,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.958017826080322,-0.6316145517348061
119,moshew/bert-mini-sst2-distilled,glue/cola,moshew/bert-mini-sst2-distilled,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,2.695234775543213,-0.6324783431253284
120,IMSyPP/hate_speech_it,glue/cola,IMSyPP/hate_speech_it,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.7340497970581055,-0.6328712499244054
121,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,glue/cola,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,11.963374376296995,-0.6329464231438827
122,matthewburke/korean_sentiment,glue/cola,matthewburke/korean_sentiment,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,12.59657859802246,-0.6332806761340479
123,isakbos/Q8BERT_COLA_L_512,glue/cola,isakbos/Q8BERT_COLA_L_512,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.115405797958374,-0.6333881173078164
124,milyiyo/selectra-small-finetuned-amazon-review,glue/cola,milyiyo/selectra-small-finetuned-amazon-review,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.334231853485107,-0.6333884591671712
125,M47Labs/spanish_news_classification_headlines_untrained,glue/cola,M47Labs/spanish_news_classification_headlines_untrained,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.589462518692017,-0.6335146508567879
126,rmihaylov/roberta-base-sentiment-bg,glue/cola,rmihaylov/roberta-base-sentiment-bg,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.669102907180786,-0.6337593608192416
127,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,glue/cola,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.881779193878174,-0.6339478266177696
128,Recognai/bert-base-spanish-wwm-cased-xnli,glue/cola,Recognai/bert-base-spanish-wwm-cased-xnli,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.701845645904541,-0.6340416836824376
129,jb2k/bert-base-multilingual-cased-language-detection,glue/cola,jb2k/bert-base-multilingual-cased-language-detection,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.483211517333984,-0.6343441888091039
130,viviastaari/finetuning-sentiment-analysis-en-id,glue/cola,viviastaari/finetuning-sentiment-analysis-en-id,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.730567693710327,-0.6343670559958346
131,fgaim/tiroberta-geezswitch,glue/cola,fgaim/tiroberta-geezswitch,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,14.059216737747192,-0.6343770293736738
132,bondi/bert-semaphore-prediction-w4,glue/cola,bondi/bert-semaphore-prediction-w4,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,12.040676593780518,-0.6346139965167862
133,chiragasarpota/scotus-bert,glue/cola,chiragasarpota/scotus-bert,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.079503059387207,-0.6346260702099711
134,Guscode/DKbert-hatespeech-detection,glue/cola,Guscode/DKbert-hatespeech-detection,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.500773668289185,-0.6347065115583826
